date,a,b1,b2,betaN,betaV,sigmaN1,sigmaN2,sigmaV1,sigmaV2,alpha,C,file_path
2022-05-07 13:53:18.903132,0.2,0.8,0.2,0.5,0.3,4.0,3.0,5.0,6,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_sigmaV2_inverse=6.0000.csv
2022-05-07 13:53:38.452082,0.2,0.8,0.2,0.5,0.3,4.0,3.0,5.0,7,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_sigmaV2_inverse=7.0000.csv
2022-05-18 09:10:21.837026,0.2,0.8,0.2,0.5,0.3,5.0,4.0,6.0,5.0,2.6,0.017246877041895137,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_case_based_20000.csv
2022-05-18 09:12:53.243165,0.2,0.8,0.2,0.5,0.3,5.0,4.0,6.0,5.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline.csv
2022-05-18 21:37:05.636517,0.2,0.8,0.2,0.5,0.3,5.0,4.0,6.0,5.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline.csv
2022-05-18 21:38:22.446746,0.2,0.8,0.2,0.5,0.3,5.0,4.0,6.0,5.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline.csv
2022-05-18 21:42:29.275600,0.2,0.8,0.2,0.5,0.3,5.0,4.0,6.0,5.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline.csv
2022-05-18 21:44:52.653757,0.2,0.8,0.2,0.5,0.3,5.0,4.0,6.0,5.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline.csv
2023-02-16 20:48:19.128444,0.2,0.8,0.2,0.5,0.3,5.0,4.0,6.0,5.0,2.6,0.01,C:\Users\11442\Desktop\age_contact_and_no_age_seaiq_1107\age_contact_and_no_age_seaiq_1107\data\output_source\China_Shanghai_all_states_numbers_85_baseline.csv
2023-02-20 14:54:11.895092,0.2,0.8,0.2,0.5,0.3,5.0,4.0,6.0,5.0,2.6,0.01,E:\age_contact_and_no_age_seaiq_1107\age_contact_and_no_age_seaiq_1107\data\output_source\China_Shanghai_all_states_numbers_85_baseline.csv
